行业,广州,深圳,珠海,佛山,江门,肇庆,惠州,东莞,中山
煤炭采选业,,,,,,,,,
石油和天然气开采,,150.99,,,,,,,
黑色金属矿采选业,,,,,0.07,0.42,,,
有色金属矿采选业,0.37,,,,,2.98,0.23,,
非金属矿采选业,16.26,0.3,2.07,2.02,3.46,11.67,0.25,0.8,0.08
其他矿采选业,,,,,,,,,
木材及竹材采运业,,,,,,0.37,0.05,0.12,
食品加工业,65.44,43.46,15.29,54.57,32.76,7.51,2.5,12.95,5.2
食品制造业,99.71,13.4,9.04,17.41,29.75,3.75,1.28,13.38,10.14
饮料制造业,65.08,24.57,7.65,24.81,3.88,9.58,5.06,14.03,18.85
烟草加工业,46.1,1.19,0.1,4.97,0.09,,,,
纺织业,89.69,43.66,20.16,84.35,79.24,31.97,13.08,84.11,34.69
服装及其他纤维制品制造业,138.38,42.18,32.5,62.44,66.66,27.05,20.04,42.23,52.03
皮革、毛皮、羽绒及其制品业,123.64,31.37,9.58,44.88,32.71,30.76,12.8,27.68,30.4
木材加工及竹、藤、棕、草制品业,18.29,5.16,3.3,23.08,13.18,30.25,2.4,3.27,1.94
家具制造业,20.68,24.57,1.95,13.73,7.59,11.14,2.08,11.71,6.13
造纸及纸制品业,66.72,27.29,19.86,27.26,31.76,14.19,4.39,47.17,23.05
印刷业、记录媒介的复制,22.36,34.26,3.57,18.15,14.25,4.92,3.82,12.62,13.52
文教体育用品制造业,56.68,41.49,10.58,27.68,5.14,4.71,8.37,38.78,29.39
石油加工及炼焦业,138.95,2.87,,11.61,,0.58,,0.21,
化学原料及化学制品制造业,302.93,50.77,24.21,45.96,68.08,26.02,12.63,31.57,38.12
医药制造业,61.57,52.89,24.71,16.38,5.73,7.61,2.15,3.79,6.73
化学纤维制造业,5.85,0.39,3.98,8.64,13.93,12.2,0.32,1.27,4.76
橡胶制品业,32.86,3.43,2.16,3.55,12.76,1.89,0.81,6.85,6.19
塑料制品业,96.54,100.55,23.13,97.14,34.88,7.68,37.65,44.6,52.14
非金属矿物制品业,92.61,42.1,9.48,173.08,36.95,23.05,10.3,23.07,25.71
黑色金属冶炼及压延加工业,91.27,15.1,0.73,6.01,12.39,0.87,6.73,2.58,5.22
有色金属冶炼及压延加工业,30.45,4.31,0.15,69.84,2.42,6.19,0.94,1.59,8.42
金属制品业,104.35,92.08,23.09,115.12,116.02,29.78,31.13,34.39,58.67
普通机械制造业,59.08,10.35,6.16,20.36,41.67,17.49,3.98,6.98,11.67
专用设备制造业,21.94,24.75,10.2,16.18,9.35,4.06,1.16,5.81,4.14
交通运输设备制造业,340.26,40.5,9.97,39.49,43.48,9.39,24.75,6.64,4.39
电气机械及器材制造业,200.23,186.81,129.86,474.75,113.42,7.22,58.6,74.8,82.89
电子及通信设备制造业,206.93,1573.57,128.74,143.46,57.81,55.97,411.74,350.59,116.32
仪器仪表及文化、办公用机械制造业,19.5,169.43,60,33.33,11.03,2.25,8.1,14.26,6.18
其他制造业,54.86,43.14,7.85,24.26,28.54,15.53,6.1,8.31,10.57
电力蒸汽热水生产供应业,118.27,166.09,41.35,68.23,11.78,10.17,12.81,103.31,14.58
煤气的生产和供应业,5.97,0.14,18.11,0.4,0.36,,,,
自来水的生产和供应业,15.35,16.48,2.77,9.23,3.22,1.19,1.89,10.21,2.3
