行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,,151.7,,,,,,,
黑色金属矿采选业,,,,,0.21,,,0.13,0.45
有色金属矿采选业,0.41,,,,0.21,,,,5.07
非金属矿采选业,18.67,,2,0.93,0.34,3.32,0.27,4.51,10.01
其他矿采选业,,,,,,,,,
农副食品加工业,67.91,72.85,17.15,62.31,2.79,24.78,15.04,31.62,6.96
食品制造业,118.12,26.79,10.41,23.64,1.43,20.29,24.34,19.03,3.17
饮料制造业,75.46,40.68,8.53,34.82,3.29,22.65,18.51,2.58,8.76
烟草制品业,55.63,15.12,,4.93,,,,0.1,
纺织业,126.05,35.45,14.86,112.8,21.23,133.57,74,86.63,36.27
纺织服装、鞋、帽制造业,159.63,65.37,32.48,82.69,18.36,58.56,110.29,70.69,24.8
皮革、毛皮、羽毛(绒)及其制品业,134.06,33.25,7.81,56.72,20.16,55.55,58.97,40.02,35.96
木材加工及竹、藤、棕、草制品业,16.95,8.74,1.73,23.89,4.02,6.08,3.3,15.48,18.1
家具制造业,29.01,46.54,2.62,28.25,3.15,51.49,12.89,11.53,9.66
造纸及纸制品业,64.36,34.08,19.14,51.57,5.63,92.9,38.67,39.25,14.71
印刷业和记录媒介的复制,32.12,68.83,3.54,25.04,5.53,35.67,20.54,20.28,5.65
文教体育用品制造业,59.08,49.93,7.19,35.87,10.79,72.4,50.86,7.94,6.13
石油加工、炼焦及核燃料加工业,170.92,5.31,,23.54,,0.24,6.93,0.5,0.32
化学原料及化学制品制造业,525.59,65.38,57.34,77.29,14.11,51.58,57.77,108.51,22.15
医药制造业,68.35,61.35,30.74,20.67,3.1,3.6,8.97,6.97,8.58
化学纤维制造业,5.87,6.79,3.98,9.87,0.64,0.72,2.26,5.14,4.11
橡胶制品业,42.23,14.77,0.68,4.98,1.09,6.49,8.55,10.3,1.83
塑料制品业,131.61,138.98,42.14,127.88,32.98,100.62,81.66,41.03,10.95
非金属矿物制品业,101.03,46.75,12.8,243.83,11.74,30.1,34.93,42.45,24.87
黑色金属冶炼及压延加工业,114.68,16.11,,25.6,7.41,27.73,9.38,20.91,0.64
有色金属冶炼及压延加工业,51.87,9.87,0.72,143.14,4.05,6.15,12.72,4.3,5.77
金属制品业,122.36,141.74,13.32,150.74,29.17,43.45,78.07,148.6,41.47
通用设备制造业,85.39,25.2,9.93,42.47,7.01,14.35,35.8,34.58,15.9
专用设备制造业,35.52,48.25,12.9,37.04,1.63,19.73,7.72,9.85,4.18
交通运输设备制造业,630.21,53.44,14.56,63.25,20.98,17.03,7.11,71.26,7.74
电气机械及器材制造业,266.45,293.42,173.07,682.13,94.29,210.64,194.08,146.95,9.4
通信设备、计算机及其他电子设备制造业,438.06,3080.88,355.96,205.78,659.86,784.71,206.87,51.3,62.04
仪器仪表及文化、办公用机械制造业,32.67,249.17,73.05,64.57,13.93,115.08,79.91,6.98,5.38
工艺品及其他制造业,65.15,65.84,9.01,23.36,6.31,10.95,18.17,24.53,18.98
废弃资源和废旧材料回收加工业,,,,0.07,0.86,,,14.5,
电力、热力的生产和供应业,146.58,249.11,45.55,79.66,11.5,113.41,23.91,14.99,15.25
燃气生产和供应业,7.82,,22.88,0.56,,,0.7,0.18,
水的生产和供应业,18.03,23.43,2.89,12.1,2.63,11.1,6.1,3.34,1.42
