行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,,278.95,159.54,,,,,,
黑色金属矿采选业,,,,,,,,,5.66
有色金属矿采选业,,,,,0.43,,,,8.72
非金属矿采选业,1.28,1.53,0.71,2.52,6,0.36,,26.45,59.03
开采专业及辅助性活动,,21.81,,,,,,,0.27
其他采矿业,,,,,,,,,
农副食品加工业,312.97,247.6,84.87,399.44,65.05,585.59,49.94,173.09,46.94
食品制造业,497.49,66.43,55.65,266.01,5.36,125.03,57.29,394.51,44.34
酒、饮料和精制茶制造业,228.02,185.07,14.37,201.93,48.24,80.97,54.84,25.36,32.75
烟草制品业,206.19,65.94,,,,,,,
纺织业,163.14,105.7,20.3,875.5,29.75,191.79,85.12,149.07,61.31
纺织服装、服饰业,275.11,263.46,30.55,459.03,61.82,512.6,178.12,61.89,20.6
皮革、毛皮、羽毛及其制品和制鞋业,164.69,100.3,6.6,260.66,94.44,356.62,72.52,73.92,71.69
木材加工和木、竹、藤、棕、草制品业,33.17,17.32,5.65,113.64,27.08,47.37,17.72,26.76,73.77
家具制造业,261.69,142.32,17.19,593.85,177.09,353.61,124.42,86.2,85.64
造纸和纸制品业,155.25,189.56,57.79,343.92,42.46,944.97,127.5,206.99,71.71
印刷和记录媒介复制业,106.83,224.63,13.89,195.09,37.05,231.24,48.81,123.32,39.77
文教、工美、体育和娱乐用品制造业,169.15,1151,16.68,602.96,68.21,466.14,112.44,27.04,57.84
石油、煤炭及其他燃料加工业,665.59,79.99,109.09,122.3,915.8,14.39,2.87,5.16,0.75
化学原料和化学制品制造业,1338.62,300.9,351.72,986.33,784,365.44,232.28,308.77,192.63
医药制造业,297.14,336.41,131.95,140.29,24.65,27.57,130.99,23.33,30.66
化学纤维制造业,6.04,4.21,41.25,44.45,0.86,15.35,0.41,5.72,2.7
橡胶和塑料制品业,399.13,992.97,138,1079.56,255.34,1003.4,303.52,141.08,103.42
非金属矿物制品业,317.23,404.57,89.96,1287.85,199.48,349.18,145.65,236.73,395.43
黑色金属冶炼和压延加工业,343.19,38.62,110.79,650.16,17.28,55.82,32.71,36.54,8.08
有色金属冶炼和压延加工业,363.37,439.6,58.39,1132.64,27.53,149.67,50.83,96.83,191.76
金属制品业,323.08,574.48,87.66,2085.88,155.34,838.51,282.79,490.68,539.15
通用设备制造业,652.93,901.02,150.17,980.28,88.24,774.69,314.62,170.76,63.81
专用设备制造业,289.39,1253.9,147.97,853.99,62.7,563.97,114.72,63.51,44.59
汽车制造业,5465.24,867.66,143.94,906.5,159.72,256.4,160.24,119.79,96.11
铁路、船舶、航空航天和其他运输设备制造业,335.93,128.13,43.63,148.2,16.59,74.74,14.46,222.26,3.73
电气机械和器材制造业,868.1,2685.55,926.1,4697.93,723.06,1558.41,1145.54,446.22,75.19
计算机、通信和其他电子设备制造业,2141.03,21613.87,913.16,787.96,3195.88,9370.09,819.12,301.32,172.62
仪器仪表制造业,113.41,484.85,83.05,109.98,22.9,196.97,79.63,1.76,5.94
其他制造业,17.88,90.99,,15.95,9.02,107.17,33.43,13,2.03
废弃资源综合利用业,16.84,2.69,3.4,505.84,9.64,1.19,2.79,11.43,83.97
金属制品、机械和设备修理业,73.31,18.27,82.19,0.39,1.03,3.31,,2.86,0.69
电力、热力生产和供应业,1445.38,884.01,262.2,594.45,339.12,666.37,279.24,315.27,157.54
燃气生产和供应业,462.99,134.35,109.88,67.82,10.69,63.99,20.22,10.58,23.74
水的生产和供应业,84.28,140.35,13.05,82.4,18.53,39.99,20.49,11.08,6.83
