行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,,254.05,104.69,,,,,,
黑色金属矿采选业,,,,,4.4,,,,59.35
有色金属矿采选业,,,,,0.54,,,,20.33
非金属矿采选业,2.24,,,3.22,33.42,0.33,1.73,13.59,75.07
开采辅助活动,,17.81,,,,,,,3.46
其他采矿业,,,,,,,,,
农副食品加工业,465.67,213.04,60.74,314.97,77.97,331.79,51.17,149.41,54.07
食品制造业,474.35,54.73,41.69,297.23,25.16,111.98,174.19,97.95,42.75
酒、饮料和精制茶制造业,300.93,142.13,16.26,223.7,39.18,82.2,94.15,30.02,31.58
烟草制品业,217.63,64.08,,,,,,,
纺织业,266.91,62.57,20.82,687.33,67.04,164.29,184.66,150.65,104.13
纺织服装、服饰业,422.79,243.23,34.62,461.59,128.52,537.82,344.65,134.36,70.57
皮革、毛皮、羽毛及其制品和制鞋业,289.31,129,14.66,286.48,203.09,354.64,125.06,96.36,168.01
木材加工和木、竹、藤、棕、草制品业,32.09,13.17,9.1,161.37,55.16,18.28,24.97,24.88,124.88
家具制造业,177.33,128.71,13.4,464.1,187.98,270.41,123.06,83.31,82.3
造纸和纸制品业,132.11,141.44,45.82,258.07,35.84,572.55,143.73,162.67,75.06
印刷和记录媒介复制业,99.38,184.26,11.42,195.06,45.33,151.59,81.79,50.12,51.3
文教、工美、体育和娱乐用品制造业,320.8,1133.02,13.64,677.1,81.08,425.22,140.32,32.15,87.7
石油加工、炼焦和核燃料加工业,504.07,61.05,90.22,160.41,415.24,7.81,3.88,3.98,3.46
化学原料和化学制品制造业,2069.81,242.34,215.25,843.72,497.48,286.63,240.74,493.16,375.65
医药制造业,244.73,207.19,150.44,99.06,23.04,21.06,205.01,20.66,55.54
化学纤维制造业,6.61,4.44,32.84,23.65,2.58,12.86,1.14,13.56,3.55
橡胶和塑料制品业,388.5,655.07,77.21,1029.28,260.08,621.22,333.35,165.02,185.46
非金属矿物制品业,178.61,270.58,35.3,1350.36,177.97,185.76,101.28,223.27,457.56
黑色金属冶炼和压延加工业,361.15,32.29,66.18,542.82,111.47,50.3,30.93,36.99,34.26
有色金属冶炼和压延加工业,415.95,390.99,48.75,1150.31,21.78,73.62,51.02,70,288.92
金属制品业,376.3,472.83,66.28,1554.59,201.13,368.7,315.12,516.86,577.6
通用设备制造业,653.66,645.89,145.96,729.83,101.15,538.85,422.04,113.91,60.38
专用设备制造业,200.4,695.11,93.24,634.46,58.42,275.84,127.54,50.6,56.27
汽车制造业,3930.79,538.1,63.45,700.02,175.3,145.84,135.92,76.21,70
铁路、船舶、航空航天和其他运输设备制造业,435.47,153.06,24.77,111.15,16.1,70.34,96.81,279.69,15.87
电气机械和器材制造业,1080.89,2002.4,1000.94,4281.4,478.09,996.74,1233.35,370.22,88.44
计算机、通信和其他电子设备制造业,2407.42,15001.89,1079.99,1077.47,3164.28,5186.94,1006.2,244.12,295.37
仪器仪表制造业,64.97,340.93,32.89,113.09,21.03,145.31,87.71,0.46,8.44
其他制造业,18.54,70.02,0.93,14.41,9.94,35.54,50.8,12.23,8.97
废弃资源综合利用业,28.39,2.5,1.13,451.48,18.07,1.64,7.55,2.41,213.15
金属制品、机械和设备修理业,56.37,11.6,45.13,0.18,,1.19,0.2,0.87,4.16
电力、热力生产和供应业,1395.47,793.82,245.52,526.92,290.21,626.77,271.35,269.6,156.08
燃气生产和供应业,317.22,64.97,51.63,74.03,4.66,38.68,91.23,,13.58
水的生产和供应业,87.88,104.11,11.08,46.09,11.99,31.67,42.62,9.49,11.12
