行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,0.05,351.65,,,,,,,
黑色金属矿采选业,,,,,1.7,,,,38.92
有色金属矿采选业,2.05,,,,0.48,,,,31.31
非金属矿采选业,1.6,,,6.55,8.46,0.15,2.44,22.54,25.56
其他矿采选业,,,,,,,,,
农副食品加工业,285.92,131.03,32.23,212.48,28.7,249.42,41.68,63.66,19.49
食品制造业,337.9,47.7,23.57,163.03,4.61,77.57,96.83,144.24,9.46
饮料制造业,203.99,67.74,14.76,73.49,21.12,141.86,31.85,8.81,9.35
烟草制品业,144.68,47.85,,6.95,,,,,
纺织业,300.03,86.5,30.35,636.14,55.16,350.46,258.54,209.57,62.97
纺织服装、鞋、帽制造业,390.78,202.76,31.89,376.72,42.03,188.95,249.06,177.99,49.61
皮革、毛皮、羽毛(绒)及其制品业,203.62,145.74,13.83,195.04,98.52,275.55,163.99,81.34,66.53
木材加工及竹、藤、棕、草制品业,32.81,10.79,6.49,126.2,11.34,15.97,19.01,33.91,39.92
家具制造业,88.13,132.74,5.62,345.51,48.44,210,89.62,68.62,20.44
造纸及纸制品业,152.52,159.27,47.71,258.84,20.58,454.86,172.5,131.07,40.78
印刷业和记录媒介的复制,69.66,149.84,18.71,147.82,12.82,91.53,61.14,52.23,11.8
文教体育用品制造业,95.11,127.61,19.89,147.75,36.49,178.42,93.54,24.47,15.31
石油加工、炼焦及核燃料加工业,587.17,15.62,14.46,254.42,662.03,18.35,62.57,18.72,0.21
化学原料及化学制品制造业,1408.01,220.8,219.38,571.33,340.87,228.38,184.11,206.45,149.63
医药制造业,160.17,147.29,92.92,56.76,7.32,9.51,109.52,18.22,37.88
化学纤维制造业,24.14,2.07,28.19,17.41,1.67,4.02,4.73,85.01,5.16
橡胶制品业,89.63,56.47,2.24,77.92,19.4,45.75,24.44,26.02,4.85
塑料制品业,304.24,523.57,68.41,710.3,114.18,396.58,268.17,154.33,34.13
非金属矿物制品业,150.95,170.34,27.41,993.54,71.63,132.89,106.85,153.32,170.06
黑色金属冶炼及压延加工业,516.86,25.83,77.21,491.92,24.16,42.23,13.7,126.9,4.06
有色金属冶炼及压延加工业,218.74,82.41,69.76,856.44,15,99.38,100.94,95.63,181.63
金属制品业,342.22,385.45,48.79,1136.75,90.98,236.41,348.03,587.92,261.13
通用设备制造业,391.69,209.29,90.83,510.26,36.68,216.8,140.23,88.57,45.7
专用设备制造业,150.31,411.69,73.75,362.79,26.3,130.15,99.97,36.61,15.62
交通运输设备制造业,3466.81,298.41,65.53,467.32,104.17,110.48,96.65,401.39,50.8
电气机械及器材制造业,723.16,1595.4,709.32,3224.54,238.61,730.13,1143.79,393.63,61.06
通信设备、计算机及其他电子设备制造业,1659.22,10662.99,809.35,683,1542.42,2227.07,688,172.78,128.24
仪器仪表及文化、办公用机械制造业,132.58,548.81,115.98,218.77,13.83,262.97,70.04,6.43,3.16
工艺品及其他制造业,117.29,702.82,3.11,240.2,20.87,92.09,55.29,40.18,24.83
废弃资源和废旧材料回收加工业,46.83,0.67,0.53,215.01,40.97,,2.02,3.88,48.18
电力、热力的生产和供应业,879.72,665.07,161.2,669.47,134.68,475.24,153.99,184.27,73.01
燃气生产和供应业,119.44,65.47,45.77,33.43,2.24,21.33,49.18,1.33,0.42
水的生产和供应业,33.24,75.14,6.99,39.36,6.7,24.59,21.23,8.9,2.99
