行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,,349.23,,,,,,,
黑色金属矿采选业,,,,,0.86,,,0.13,2.25
有色金属矿采选业,0.53,,,,0.23,,,,4.56
非金属矿采选业,3.42,,1.81,3.08,0.58,0.31,0.12,10.46,1.53
其他矿采选业,,,,,,,,,
农副食品加工业,110.15,89.02,25.77,104.02,9.95,65.63,22.47,20.98,5.12
食品制造业,149.32,44.23,11.76,47.09,1.78,35.79,30.93,26.98,2.41
饮料制造业,98.34,57.03,13.19,27.73,3.84,56.03,23.06,0.23,6.58
烟草制品业,75.29,19.88,,,,,,0.07,
纺织业,177.34,68.39,25.28,178.19,34.41,187.62,121.46,102.42,26.01
纺织服装、鞋、帽制造业,151.65,105.94,27.29,145.88,19.06,122.42,158.94,70.29,7.22
皮革、毛皮、羽毛（绒）及其制品业,147.26,70.51,10.55,95.21,37.51,96.99,103.59,34.35,17.89
木材加工及竹、藤、棕、草制品业,15.75,18.47,2.16,31.84,2.06,12.5,7.02,11.36,5.67
家具制造业,26.01,86.4,4.85,72.64,10.45,111.83,30.07,22.24,4.32
造纸及纸制品业,85.88,75.77,23.73,85.85,7.91,184.17,79.25,51.21,11.51
印刷业和记录媒介的复制,36.79,122.97,5.94,47.77,6.95,43.04,27.61,19.43,3.94
文教体育用品制造业,60.73,78.03,10.58,55.95,16.49,114.52,74.26,10.35,3.25
石油加工、炼焦及核燃料加工业,249.02,3.72,,71.99,,0.3,25.22,7.18,
化学原料及化学制品制造业,729.49,133.89,103.27,166.47,22.14,84.76,90.74,130.86,24.85
医药制造业,82.3,44.95,36.57,25.28,4.14,6.1,27.08,6.97,9.54
化学纤维制造业,2.94,10.71,15.72,6.15,1.78,11.88,5.16,11.86,0.99
橡胶制品业,66.16,32.56,0.8,19.62,1.26,18.86,13.49,10.6,0.36
塑料制品业,159.58,226.75,52.72,231.7,43.16,183.85,123.95,51.88,3.34
非金属矿物制品业,124.73,82.55,12.49,426.68,16,47.64,40.36,50.58,20.82
黑色金属冶炼及压延加工业,246.1,47.99,20.76,100.09,9.82,26.01,13.71,25.17,1.11
有色金属冶炼及压延加工业,103.33,22.93,11.35,315.6,4.46,23.32,23.85,11.66,8.93
金属制品业,170.51,258.79,21.62,299.1,31.51,141.83,131.82,221.19,42.11
通用设备制造业,192.03,82.48,15.48,105.44,21.06,47.18,62.88,51.37,9.3
专用设备制造业,60.58,145.68,24.73,102.38,3.99,83.57,47.46,11.59,2.25
交通运输设备制造业,1078.17,108.9,29.26,87.38,37.11,26.03,28.76,133.6,7.88
电气机械及器材制造业,361.59,682.16,327.39,1141.79,129.14,454.57,380.36,134.92,9.95
通信设备、计算机及其他电子设备制造业,708.63,5734.78,497.69,289.72,855.33,1172.65,304.31,63.68,37.48
仪器仪表及文化、办公用机械制造业,66.52,316.57,109.29,155.35,18.02,160.49,83.65,3.57,1.23
工艺品及其他制造业,72.46,172.97,14.68,57.72,13.72,24.98,28.76,16.46,3.77
废弃资源和废旧材料回收加工业,13.02,0.15,,13.76,1.52,0.22,1.03,23.99,1.27
电力、热力的生产和供应业,341.69,539.17,75.99,242.45,58.76,380.2,97.92,100.26,32.41
燃气生产和供应业,44.17,,32.97,10.93,,,1.13,0.9,
水的生产和供应业,20.6,33.96,3.89,16.03,3.65,14.8,11.04,4.45,1.33
