行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,0.03,379.08,,,,,,,
黑色金属矿采选业,,,,,3.2,,,,92.75
有色金属矿采选业,,,,,0.58,,,,60.41
非金属矿采选业,1.73,,,2.97,13.2,,2.16,7.85,69.51
开采辅助活动,,30.66,,,,,,,
其他采矿业,,,,,,,,,
农副食品加工业,468.34,165.86,52.56,264.57,55.42,367.05,54.89,107.03,38.23
食品制造业,459.66,59.96,31.48,235.84,16.49,89.04,154.25,199.06,28.7
酒、饮料和精制茶制造业,291.87,102.39,15.42,187.95,30.4,119.17,77.25,18.88,24.81
烟草制品业,201.53,58.83,,,,,,,
纺织业,298.95,67.55,20.33,672.87,46.26,181.03,157.44,111.94,92.25
纺织服装、服饰业,540.69,240.39,49.19,419.95,95.92,513.02,304.94,91.21,55.67
皮革、毛皮、羽毛及其制品和制鞋业,277.99,137.54,17.6,248.59,129.16,342.01,132.25,69.62,137.36
木材加工和木、竹、藤、棕、草制品业,28.5,13.6,8,135.68,36.78,20.02,24.1,24.22,85.03
家具制造业,146.07,146.31,11.44,390.38,131.27,234.57,112.62,55.98,44.56
造纸和纸制品业,144.05,134.11,47.72,242.49,27.83,498.21,129.32,124.46,60.3
印刷和记录媒介复制业,125.62,182.77,11.43,155.47,37.3,134.22,72.2,49.34,39.21
文教、工美、体育和娱乐用品制造业,261.21,1534.05,18.43,550.26,58.13,334.87,118.37,20.6,66.76
石油加工、炼焦和核燃料加工业,748.49,52.81,97.04,230.05,948.82,19.98,48.14,27.95,2.97
化学原料和化学制品制造业,1839.31,230.71,244.41,733.6,483.56,295.37,224.95,249.17,293.07
医药制造业,239.7,189.47,117.3,76.62,12.52,15.59,167.46,14.98,45.85
化学纤维制造业,7.21,4.99,32.03,17.86,1.48,7.81,1.48,31.67,5.54
橡胶和塑料制品业,374.12,697.47,89.88,930.33,178.26,512.68,311.19,127.58,94.14
非金属矿物制品业,176.2,274.9,34.65,1181.95,131.39,146.35,116.21,190.51,394.19
黑色金属冶炼和压延加工业,540.83,58.59,139.82,571.26,71.46,45.56,40.78,69.21,29.25
有色金属冶炼和压延加工业,469.48,292.28,8.36,967.34,17.19,99.34,167.74,42.94,383.15
金属制品业,376.21,464.75,74.6,1404.71,140.29,288.58,283.7,355.98,454.91
通用设备制造业,646.58,652.06,142.14,689.39,60.11,508.08,271,57.02,39.36
专用设备制造业,183.83,531.03,87.55,484.73,29.72,140.56,107.64,21.54,38.37
汽车制造业,3318.28,292.25,41.25,465.68,141.52,123.37,122.61,44.59,56.19
铁路、船舶、航空航天和其他运输设备制造业,552.68,101.7,36.66,97.64,11.65,58.15,52.47,243.41,11.44
电气机械和器材制造业,911.66,2012.55,862.61,3731.82,331.81,904.85,1144.82,263.58,67.03
计算机、通信和其他电子设备制造业,1949.02,12715.8,831.52,922.3,3025.56,4132.71,882.91,184,277.8
仪器仪表制造业,77.74,306.11,32.48,81.47,12.59,171.66,40.4,1.35,6.11
其他制造业,16.82,47.43,0.71,15.91,8.27,44.16,39.74,9.24,7.7
废弃资源综合利用业,52.32,0.84,6.09,385.28,17.66,2.13,4.4,3.77,156.15
金属制品、机械和设备修理业,24.3,11.16,33.98,,,0.42,,,3.89
电力、热力生产和供应业,1182.73,740,202.9,520.67,286.14,608.37,212.19,282.5,133.4
燃气生产和供应业,210.16,64.47,52.98,63.18,4.09,35.23,70.86,,6.78
水的生产和供应业,48.96,100.72,8.3,43.09,9.27,29.31,23.27,6.69,7.45
