行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,,242.68,,,,,,,
黑色金属矿采选业,,,,,0.7,,,0.09,0.16
有色金属矿采选业,0.37,,,,0.28,,,,5.58
非金属矿采选业,6.46,,1.77,4.15,0.95,0.31,0.48,6.34,1.41
其他矿采选业,,,,,,,,,
农副食品加工业,81.82,91.15,18.47,87.04,8.79,60.31,21.57,21.25,5.97
食品制造业,137.75,28.07,12.53,34.43,1.48,28.82,27.59,15.19,1.43
饮料制造业,85.8,46.68,10.11,26.46,3.13,24.86,22.46,0.23,6.1
烟草制品业,66.94,17.6,,,,,,0.1,
纺织业,156.05,57.24,25.32,140.37,30.98,150.83,110.43,94.05,21.18
纺织服装、鞋、帽制造业,123.9,106.75,23.09,114.32,19.02,92.62,127.74,61.68,5.83
皮革、毛皮、羽毛(绒)及其制品业,145.25,63.35,9.58,70.44,33.08,70.16,85.2,31.37,14.24
木材加工及竹、藤、棕、草制品业,18.28,13,1.83,27.27,2.91,12.45,5.12,9.8,4.93
家具制造业,23.57,82.86,3.76,52,8.19,91.51,23.17,18.69,3.74
造纸及纸制品业,77.62,92.42,23.65,69.49,7.01,144.04,62.23,38.47,8.07
印刷业和记录媒介的复制,32.72,83.52,4.46,32.59,8.02,35.84,23.11,15.79,3.73
文教体育用品制造业,59.19,77.11,8.65,43.52,17.24,100.97,59.44,8.55,2.64
石油加工、炼焦及核燃料加工业,225.82,2.96,0.3,40.62,,0.27,13.03,2.18,
化学原料及化学制品制造业,700.48,131.25,86.38,111.35,21.29,70.17,78.04,113.16,16.69
医药制造业,69.91,61.64,30.3,22.11,4.12,4.22,18.38,5.49,6.23
化学纤维制造业,3.61,4.22,5.65,7.7,1.42,8.68,2.66,11.74,0.9
橡胶制品业,56.93,31.05,1.29,12.96,1.12,17.64,11.17,7.49,0.21
塑料制品业,148.04,202.35,45.61,171.13,40.48,159.13,97.42,38.14,2.44
非金属矿物制品业,115.89,102.05,13.23,323.09,16.22,42.08,33.49,38.93,16.12
黑色金属冶炼及压延加工业,181.09,49.97,5.61,66.38,6.57,21.37,7.39,15.58,0.38
有色金属冶炼及压延加工业,78.53,22.84,2.22,218.8,4.97,11.11,22.99,9.81,8.24
金属制品业,141.04,213.61,17.79,235.06,29.32,141,106.98,173,22.36
通用设备制造业,159.18,72.62,8.86,76.74,19.42,36.23,52.51,61.66,7.3
专用设备制造业,47.62,148.96,17.75,73.62,5.14,67.01,34.73,11.43,3
交通运输设备制造业,809.6,104.47,22.39,78.98,33.51,20.07,19.48,110.03,5.99
电气机械及器材制造业,282.05,543.08,292.68,844.96,107.52,379.09,284.08,112.03,8.17
通信设备、计算机及其他电子设备制造业,633.53,4413.02,459.86,288.14,743.53,1086.27,266.34,53.89,38.51
仪器仪表及文化、办公用机械制造业,63.24,286.88,98.39,97.61,17.23,122.03,68.2,1.91,0.73
工艺品及其他制造业,57,140.48,10.81,38.1,12.9,21.03,26.58,11.53,3.3
废弃资源和废旧材料回收加工业,7.15,0.15,,4.42,1.12,,0.8,20.19,0.1
电力、热力的生产和供应业,314.86,454.75,70.22,216.54,50.51,314.74,71.77,81.42,26.98
燃气生产和供应业,22.77,,27.83,7,,,0.89,0.89,
水的生产和供应业,19.23,31.84,3.39,14.22,3.24,13.87,9.82,4.01,1.33
