行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,,526.37,,,,,,,
黑色金属矿采选业,,,,,0.98,,,,19.8
有色金属矿采选业,1.06,,,,0.32,,,,15.52
非金属矿采选业,3.21,0.14,0.14,2.81,2.68,0.14,0.95,20.3,19.02
其他矿采选业,,,,,,,,,
农副食品加工业,277.99,154.42,32.34,175.8,21.82,200.53,38.59,44.05,13.57
食品制造业,236.56,57.6,17.21,90.21,3.08,60,59.13,74.65,2.34
饮料制造业,134.79,73.04,17.66,45.57,13.34,107.89,25.53,6.02,8.44
烟草制品业,114.47,30.39,,6.09,,,,,
纺织业,221.01,79.18,26.51,376.27,43.9,226.69,164.67,156.76,35.53
纺织服装、鞋、帽制造业,275.98,166.83,37.86,232.81,34.05,232.24,246.46,128.92,19.42
皮革、毛皮、羽毛(绒)及其制品业,183.71,104.96,16.78,172.08,65.23,190.81,138.79,66.51,36.33
木材加工及竹、藤、棕、草制品业,23.48,19.06,3.55,79.5,6.96,17.94,16.55,22.35,21.92
家具制造业,76.75,106.73,6.57,229.49,35.23,180.53,55.99,55.51,12.68
造纸及纸制品业,139.24,150.35,33.59,199.26,14.69,401.47,124.16,96.81,24.13
印刷业和记录媒介的复制,63.13,151.59,18.04,93.34,10.08,79.12,58.01,39.05,7.04
文教体育用品制造业,76.17,133.89,10.29,126.45,23.3,173.04,108.31,17.9,11.09
石油加工、炼焦及核燃料加工业,593.59,6.79,0.4,193.55,18.77,6.42,50.75,9.74,
化学原料及化学制品制造业,1113.47,229.6,148.41,412.67,326.51,161.11,157.7,137.94,71.6
医药制造业,120.97,75.65,69.12,31.75,4.31,10.1,64.79,16.39,18.71
化学纤维制造业,15.78,5.62,22.59,13.49,1.82,4.18,4.3,70.71,2.95
橡胶制品业,83.75,56.25,1.95,36.28,10.95,57.94,23.75,16.49,4.67
塑料制品业,261.26,419.24,71.21,530.4,80.35,344.88,205.35,90.43,13.46
非金属矿物制品业,137.22,137.92,21.89,911.9,49.79,102.46,76.28,101.8,71.96
黑色金属冶炼及压延加工业,466.56,30.21,76.72,294.76,7.54,33.75,13.95,85.25,4.97
有色金属冶炼及压延加工业,183.43,30.48,37.62,707.02,11.5,81.87,78.66,60.64,144.04
金属制品业,297.68,431.1,43.53,854.76,80.91,231.27,239.9,390.28,133.97
通用设备制造业,322.12,177.07,50.01,388.19,25.46,149.94,123.16,61.18,25.69
专用设备制造业,128.39,315.91,54.74,245.15,20.41,152.31,90.67,26.84,8.37
交通运输设备制造业,2272.07,204.11,56.65,267.1,93.39,78.69,66.99,318.53,14.59
电气机械及器材制造业,644.88,1209.57,534.96,2318.5,185.77,731.46,840.92,268.54,24.1
通信设备、计算机及其他电子设备制造业,953.05,9119.32,786.3,542.45,1247.83,1773.74,364.36,124.9,75.97
仪器仪表及文化、办公用机械制造业,96.38,446.93,109.23,304.35,10.38,232.3,116.86,4.25,5.02
工艺品及其他制造业,103.51,430.48,12.53,138.42,16.48,124.4,48.67,30.21,13.31
废弃资源和废旧材料回收加工业,25.46,,0.23,123.27,12.16,,2.05,2.46,29.55
电力、热力的生产和供应业,757.29,622.21,131.74,469.59,111.8,460.15,123.86,156.97,51.47
燃气生产和供应业,80.65,82.03,39.74,17.2,2.4,1.34,15.89,0.64,0.59
水的生产和供应业,29.87,69.25,6.56,27.97,6.1,24.1,20.53,6.55,2.2
