行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,,414.88,,,,,,,
黑色金属矿采选业,,,,,0.89,,,0.13,3.74
有色金属矿采选业,0.74,,,,0.26,,,,4.18
非金属矿采选业,3.27,,0.63,2.99,0.61,0.26,0.18,12.89,2.47
其他矿采选业,,,,,,,,,
农副食品加工业,119.27,95.98,26.88,112.2,12.37,70.21,29.18,25.58,6.44
食品制造业,171.25,28.57,12.85,61.32,2.12,40.63,42.33,40.53,2.2
饮料制造业,110.71,57.11,14.3,35.45,7.63,67.04,19.44,1.21,6.86
烟草制品业,82.74,21.31,,5.95,,,,,
纺织业,196.34,69.7,24.57,210.38,35.81,208.74,141.5,116.83,28.99
纺织服装、鞋、帽制造业,171.2,124.38,30.76,182.01,22.96,145.56,175.67,83.26,9.97
皮革、毛皮、羽毛(绒)及其制品业,154.24,86.06,14.45,98.05,45.12,124.87,118.93,40.76,19.62
木材加工及竹、藤、棕、草制品业,19.5,14.67,3.09,45.66,2.99,13.32,7.89,12.48,8.26
家具制造业,29.95,94.05,4.17,102.23,14.01,145.76,38.14,28.43,6.06
造纸及纸制品业,90.72,86.24,25.89,107.06,9.58,239.39,90.4,61.05,13.83
印刷业和记录媒介的复制,42.79,122.72,6.92,58.98,8,48.14,31.74,25.69,4.15
文教体育用品制造业,60.78,105.37,11.05,74.57,15.86,119.91,101.26,13.62,3.81
石油加工、炼焦及核燃料加工业,323.32,5.47,,114.67,13.89,19.78,30.14,14.42,
化学原料及化学制品制造业,768.01,166.21,116.73,221.63,201.21,111.63,114.98,87.1,33.93
医药制造业,95.71,70.06,36.58,24.55,4.07,6.45,56.43,7.75,13.75
化学纤维制造业,3.27,5.01,18.66,6.92,2.28,15.06,4.48,74.11,2.34
橡胶制品业,72.46,43.55,1.14,30.55,1.53,22.38,17.23,10.83,0.55
塑料制品业,182.07,265.72,62.69,349.3,53.06,227.1,144.01,52.77,4.72
非金属矿物制品业,130.57,94.2,15.78,572.74,21.79,63.59,54.68,63.39,34.36
黑色金属冶炼及压延加工业,340.54,13.75,36.69,125.01,13.01,38.43,14.33,40.17,3.31
有色金属冶炼及压延加工业,172.67,29.08,28.54,501.89,6.42,40.11,45.28,14.41,28.05
金属制品业,211.85,270.28,26.91,475.35,53.62,183.75,172.85,266.69,73.35
通用设备制造业,225.86,111.87,21.2,132.26,24.53,64.79,80.48,60.47,11.58
专用设备制造业,80.8,193.75,33.52,124.63,5.55,100.73,53.96,14.32,3.37
交通运输设备制造业,1459.88,137.33,34.55,142.7,54.39,32.37,37.43,162.44,9.78
电气机械及器材制造业,432.42,836.34,444.15,1473.89,148.1,558.61,516.79,166.85,11.7
通信设备、计算机及其他电子设备制造业,747.03,7131.58,653.52,304.26,932.81,1420.99,340.67,72.59,50.29
仪器仪表及文化、办公用机械制造业,74.67,381.21,103.75,189.5,19.68,195.82,114.07,2.79,1.85
工艺品及其他制造业,80.04,210.25,18.59,75.2,14.03,48.07,32.03,18.21,4.83
废弃资源和废旧材料回收加工业,14.55,0.17,0.09,18.25,1.78,,1.47,16.93,5.13
电力、热力的生产和供应业,528.46,565.39,90.37,278.89,79.18,442.94,107.59,138.06,39.23
燃气生产和供应业,58.18,8.53,28.51,9.57,,,7.69,1.56,0.14
水的生产和供应业,26.2,67.81,5,20.46,4.87,23.27,12.99,5.17,1.39
