行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,0.04,322.38,,,,,,,
黑色金属矿采选业,,,,,1.01,,,,21.45
有色金属矿采选业,1.1,,,,0.18,,,,21.27
非金属矿采选业,0.71,,0.06,6.97,4.41,0.12,1.31,16.7,30.06
其他矿采选业,,,,,,,,,
农副食品加工业,265.27,154.96,30.35,180.57,22.6,193.63,38.6,50.78,16.39
食品制造业,286.82,54.66,20.11,116.65,3.49,62.04,69.46,104.09,5.14
饮料制造业,213.11,73.89,15.88,57.56,17.25,117.43,31.2,6.49,8.14
烟草制品业,127.82,42.88,,7.22,,,,,
纺织业,240.32,86.68,22.31,464.86,45.2,216.41,171.51,157.04,44.86
纺织服装、鞋、帽制造业,300.04,171.15,30.62,301.91,34.2,218.27,276.75,141.71,27.83
皮革、毛皮、羽毛(绒)及其制品业,169.4,124.01,12.87,163.19,73.88,190.08,142.05,69.24,41.15
木材加工及竹、藤、棕、草制品业,27.84,13.16,3.26,74.54,7.86,16.51,16.65,23.53,29
家具制造业,68.33,109.75,5.14,264.28,38.29,153.99,61.12,54.34,16.28
造纸及纸制品业,118.48,138.94,33.85,204.03,13.23,318.51,112.75,106.86,30.36
印刷业和记录媒介的复制,60.91,132.66,16.03,119.1,11.09,84.75,71.42,47.89,8.34
文教体育用品制造业,78.61,112.83,14.04,141.12,28.35,146.7,91.28,17.58,14.51
石油加工、炼焦及核燃料加工业,449.25,21.41,0.55,199.69,307.9,10.84,58.48,9.99,
化学原料及化学制品制造业,1177.11,196.68,151.34,473.7,256.5,147.93,168.02,150.88,96.98
医药制造业,137.92,110.49,73.64,42.05,5.63,9.58,81.76,18.36,22.92
化学纤维制造业,18.51,1.26,20.95,13.83,0.97,2.74,3.21,58.49,3.41
橡胶制品业,79.51,51.53,2.11,53.95,14.56,52,26.14,20.27,18.62
塑料制品业,246.17,421.55,60.58,630.67,82.27,319.44,224.67,112.81,18.1
非金属矿物制品业,132.67,126.89,20.67,869.76,52.23,103.45,82.59,112.51,89.84
黑色金属冶炼及压延加工业,439.02,18.27,74.06,333.29,15.09,23.01,13.25,82.64,5.38
有色金属冶炼及压延加工业,161.83,41.17,41.74,687.2,11.74,110.78,88.08,65.48,147.82
金属制品业,282.78,316.82,35,1033.79,63.05,180.87,257.12,422.3,161.71
通用设备制造业,296.71,164.95,66.24,461.87,23.08,119.31,111.73,63.86,33.67
专用设备制造业,113.46,315.3,61.25,318.15,19.68,119.11,86.27,29.97,11.88
交通运输设备制造业,2809.12,239.23,56.13,337.98,83.49,89.82,89.23,348.79,17.8
电气机械及器材制造业,627.08,1166.4,603.69,2494.88,178.16,607.94,920.15,297.12,37.19
通信设备、计算机及其他电子设备制造业,1276.61,9044.9,634.92,578.77,1414.88,1671.23,455.95,128.39,83.23
仪器仪表及文化、办公用机械制造业,101.15,440.29,107.55,194.4,11.22,208.28,81.47,5.76,6.79
工艺品及其他制造业,96.91,433.28,4.85,160.21,17.37,97.53,51.54,34.62,16.93
废弃资源和废旧材料回收加工业,23.92,,0.3,130.56,19.06,,1.58,3.19,31.99
电力、热力的生产和供应业,832.67,621.52,135.91,543.71,119.77,443.62,128.56,163.66,56.9
燃气生产和供应业,84.95,75.25,42.32,20.15,1.68,11.91,21.75,0.81,0.28
水的生产和供应业,30.58,71.1,6.72,30.68,5.77,23.29,22.32,7.12,2.8
