行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,,419.6,,,,,,,
黑色金属矿采选业,,,,,0.48,,,0.19,8.96
有色金属矿采选业,1.09,,,,0.61,,,,12.01
非金属矿采选业,3.35,0.1,0.29,3.48,0.7,0.44,0.49,15.31,4.46
其他矿采选业,,,,,,,,,
农副食品加工业,184.23,113.36,29.92,130.89,15.54,115.28,37.94,28.92,10.61
食品制造业,195.43,33.22,13.98,75.76,2.58,59.01,51.57,52.18,1.72
饮料制造业,128.72,60.18,15.19,41.72,9.83,94.57,20.51,2.71,7.96
烟草制品业,100.87,25.91,,7.27,,,,,
纺织业,196.51,82.78,23.07,275.06,37.2,230.96,150.38,137.72,34.21
纺织服装、鞋、帽制造业,189.8,154.29,36.02,233.62,25.23,176.7,203.1,103.75,12.21
皮革、毛皮、羽毛(绒)及其制品业,156.3,92.05,15,140.84,53.55,165.52,136.74,49.97,28.45
木材加工及竹、藤、棕、草制品业,20.01,13.77,3.46,75.69,5.59,14.83,11.79,22.62,12
家具制造业,45.34,118.08,5.07,161.22,20.1,164.75,47.46,40.63,8.94
造纸及纸制品业,109.33,116.21,29.34,137.41,12.46,294.83,108.22,72.87,19.08
印刷业和记录媒介的复制,47.14,134.78,14.56,71.22,7.43,64.65,44.39,29.05,4.79
文教体育用品制造业,67.76,121.02,9.54,111.23,18.22,149.93,108.08,14.33,6.72
石油加工、炼焦及核燃料加工业,472.35,5.46,,140.34,22.82,10.99,40.75,15.8,
化学原料及化学制品制造业,930.24,203.11,144.26,316.49,281.04,127.45,149.37,112.68,50.31
医药制造业,109.33,86.78,46.79,29.29,4.8,6.9,55.99,10.96,13.93
化学纤维制造业,12.95,4.06,24.99,14.47,2.51,17.2,4.9,73.72,2.69
橡胶制品业,85.31,51.3,1.2,34.29,5.86,33.1,18.84,12.45,0.84
塑料制品业,222.59,376.86,67.97,446.34,66.12,279.59,181.55,70.35,8.52
非金属矿物制品业,123.07,116.16,23.54,743.51,38.68,86.56,73.32,83.94,46.22
黑色金属冶炼及压延加工业,444.9,44.27,54.71,190.08,10.3,39.43,16.3,50.6,5.31
有色金属冶炼及压延加工业,173.34,36.43,39.02,680.9,9.08,64.09,54.31,13.82,78.25
金属制品业,250.21,352.39,39.21,688.03,73.81,238.04,213.59,358.06,107.65
通用设备制造业,260.71,141.6,27.31,192.21,31.21,94.72,105.99,79.92,17.35
专用设备制造业,91.6,271.28,45.48,187.11,7.47,130.09,76.4,17.84,5.98
交通运输设备制造业,2020.12,154.61,52.25,232.56,72.8,45.62,46.8,229.37,12.99
电气机械及器材制造业,549.06,1052.81,513.69,1956.19,188.46,736.71,688.82,224.62,16.49
通信设备、计算机及其他电子设备制造业,766.92,7995.37,801.78,321.74,1050.39,1608.53,333.81,90.52,65.64
仪器仪表及文化、办公用机械制造业,82.11,494.85,98.74,273.35,19.41,215.59,119.08,3.2,1.91
工艺品及其他制造业,85.27,334.99,15.54,113.2,14.71,91.05,36.52,26.67,7.34
废弃资源和废旧材料回收加工业,24.41,0.38,0.12,27.53,2.24,,1.61,17.68,14.73
电力、热力的生产和供应业,666.98,621.69,116.42,327.16,101.15,468.06,119.11,161.63,44.92
燃气生产和供应业,58.27,58.73,42.62,15.57,,,9.32,1.58,0.3
水的生产和供应业,27.59,69.52,6.3,21.29,5.57,26.29,16.54,5.66,1.57
