行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,,247.16,109.19,,,,,,
黑色金属矿采选业,,,,,4.18,,,,34.55
有色金属矿采选业,,,,,0.51,,,,14.73
非金属矿采选业,2.38,,0.43,4.32,25.66,0.29,0.48,13.6,51.77
开采辅助活动,,11.78,,,,,,,0.26
其他采矿业,,,,,,,,,
农副食品加工业,363.39,237.16,87.22,357.5,96.17,446.3,45.81,150.25,40.54
食品制造业,458.76,57.33,53.14,228.75,8.23,119.41,51.88,336.71,37.27
酒、饮料和精制茶制造业,218.17,172.42,14.65,254.92,64.83,84.33,59.24,22.25,35.75
烟草制品业,202.88,63.04,,,,,,,
纺织业,186.19,98.61,18.01,784.81,64.09,177.81,77.91,149.73,52.67
纺织服装、服饰业,289.2,266.5,33.69,473.81,154.24,470.97,186.07,116.09,28.84
皮革、毛皮、羽毛及其制品和制鞋业,190.15,111.8,11.55,261.91,245.13,336.85,82.58,81.06,104.13
木材加工和木、竹、藤、棕、草制品业,26.44,16.89,15.67,144.4,56.82,34.41,16.83,23.27,90.16
家具制造业,231.98,147.53,14.04,550.81,209.47,331.49,114.2,78.63,78.96
造纸和纸制品业,142.43,169.62,47.67,288.79,56.18,843.54,129.31,243,65.06
印刷和记录媒介复制业,99.4,219.43,12.55,215.31,50.4,201.85,40.89,61.73,42.21
文教、工美、体育和娱乐用品制造业,161.75,1073.17,15.77,679.2,98.78,431.21,108.6,33.57,66.61
石油加工、炼焦和核燃料加工业,510.01,80.04,92.68,159.26,464.68,11.56,1.74,4.3,1.13
化学原料和化学制品制造业,1433,298.21,298.12,951.09,649.21,353.05,219.8,239.83,241.04
医药制造业,290.31,275.48,146.4,114.67,25.1,24.08,113.02,20.69,35.48
化学纤维制造业,8.7,5.48,33.9,39.45,4.38,13.35,0.85,41.03,4.26
橡胶和塑料制品业,422.5,796.16,110.43,1025.74,303.22,849.15,289.07,119.87,106.33
非金属矿物制品业,244.65,335.54,56.87,1364.49,185.12,250.18,124.98,216.29,384.17
黑色金属冶炼和压延加工业,389.95,33.41,109.77,597.34,22.77,64.85,28.16,40.33,14
有色金属冶炼和压延加工业,291.49,451.15,20.96,1246.49,35.14,85.34,57.37,80.93,150.12
金属制品业,307.46,550.86,80.46,1919.03,257.18,630.93,246.66,459.94,475.21
通用设备制造业,612.03,815.41,154.68,902.26,244.39,678.02,327.91,107.29,70.22
专用设备制造业,246.99,1112.6,155.48,790.7,113.31,447.08,101.06,93.4,55.99
汽车制造业,5117.04,750.35,96.79,897.42,221.74,204.39,165.67,117.8,101.84
铁路、船舶、航空航天和其他运输设备制造业,293.59,345.76,22.52,130.41,22.23,61.55,16.98,253.64,0.57
电气机械和器材制造业,835.42,2648.83,765.09,4320.5,554.88,1345.47,1067.13,441.79,63.46
计算机、通信和其他电子设备制造业,2166.93,19004.88,895.46,919.82,3531.68,8199.8,839.88,302.46,157.81
仪器仪表制造业,93.89,505.64,68.12,119.09,21.19,181.32,54.09,1.15,11.03
其他制造业,13.65,75.38,,16.49,9.04,54.3,32.91,12.29,2.33
废弃资源综合利用业,13.42,1.53,1.93,556.91,19.03,1.44,1.79,2.62,129.58
金属制品、机械和设备修理业,71.51,15.45,69.55,0.67,,2.49,,0.67,5.24
电力、热力生产和供应业,1433.9,875.79,248.7,561.73,323.48,604.3,276.47,269.42,151.76
燃气生产和供应业,285.27,123.73,69.44,64.15,5.53,52.37,17.26,15.88,19.17
水的生产和供应业,96.32,125.04,12.65,73.32,18.94,35.08,20.27,9.61,16.94
