行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,0.08,373.52,,,,,,,
黑色金属矿采选业,,,,,1.65,,,,72.49
有色金属矿采选业,,,,,0.66,,,,53.72
非金属矿采选业,1.56,,,2.05,12.86,,2.34,5.33,61.22
开采辅助活动,,22.8,,,,,,,
其他采矿业,,,,,,,,,
农副食品加工业,432.48,161.81,49.01,231.76,41.48,321.6,47.98,88.4,29.62
食品制造业,421.5,59.81,24.97,190.01,4.79,89.87,156.4,141.71,24.17
酒、饮料和精制茶制造业,203.6,90.71,15.69,147.74,26.52,172.9,52.88,14.57,16.02
烟草制品业,176.95,54.86,,,,,,,
纺织业,266.16,59.18,19.51,544.07,41.97,183.24,185.38,89.79,85.04
纺织服装、服饰业,483.31,235.58,39.75,356.99,66.1,447.76,315.35,72.17,53.24
皮革、毛皮、羽毛及其制品和制鞋业,222.46,130.11,16.45,215.5,112.63,312.12,143.5,54.92,104.89
木材加工和木、竹、藤、棕、草制品业,24.85,12.5,5.65,113.49,26.43,17.45,16.77,23.17,69.65
家具制造业,102.44,137.49,11.28,313.27,84.85,205.18,94.82,48.35,36.18
造纸和纸制品业,129.87,139.1,41.27,196.29,25.31,517.66,158.48,109.44,54.62
印刷和记录媒介复制业,57.93,170.82,8.3,127.69,24.15,106.77,75.35,35.75,21.34
文教、工美、体育和娱乐用品制造业,209.4,1379.14,18.08,513.11,47.98,274.63,122.42,16.63,59.56
石油加工、炼焦和核燃料加工业,773.76,25.07,88.76,210.18,941.33,14.77,37.86,20.44,1.77
化学原料和化学制品制造业,1585.47,213.78,240.59,591.42,457.01,255.83,218.61,211.03,249.58
医药制造业,201.2,179.19,101.85,61.48,9.83,13.04,131.39,13.15,38.28
化学纤维制造业,6.32,4.22,26.83,17.2,1.34,7,3.13,33.12,5.23
橡胶和塑料制品业,375.1,595.34,65.1,787.8,144.68,429.27,305.62,80.08,76.06
非金属矿物制品业,139.98,252.18,28.6,1000.37,92.54,121.59,108.62,115.23,309.96
黑色金属冶炼和压延加工业,523.97,56.71,87.65,480.96,64.65,39.26,32.73,68.17,27.46
有色金属冶炼和压延加工业,247.21,244.81,63.21,833.54,13.37,87.55,144.93,26.83,326.93
金属制品业,336.53,437.03,68.19,1132.82,95.21,255.21,352.09,269.01,352.69
通用设备制造业,559.5,575.13,166.21,663.91,42.55,449.73,230.27,39.01,33.78
专用设备制造业,155.87,465.96,80.83,405.65,27.76,118.48,152.37,17.84,29.52
汽车制造业,2722.52,257.33,32.07,363.81,116.74,103.18,83.54,30.21,42.59
铁路、船舶、航空航天和其他运输设备制造业,555,105.99,32.92,95.48,10.24,48.18,32.98,247.54,10.52
电气机械和器材制造业,760.79,1712.97,716.78,3307.31,250.3,791.23,1225.78,225.18,61.05
计算机、通信和其他电子设备制造业,1780.05,11977.39,697.21,792.42,2374.63,3280.85,848.58,153.37,245.05
仪器仪表制造业,64.91,253.71,28.02,68.61,8.38,122.59,40.88,1.12,4.85
其他制造业,14.93,44.92,1.97,13.01,5.48,52.29,33.04,6,5.12
废弃资源综合利用业,54.6,1.13,4.2,301.52,15.12,1.34,4.57,1.01,120.86
金属制品、机械和设备修理业,21.09,16.06,26.38,,0.43,,8.71,,2.89
电力、热力生产和供应业,1045.09,763.46,200.57,480.22,276.36,597.78,205.37,255.39,123.69
燃气生产和供应业,157.1,65.57,56.56,58.33,3.5,26.87,103.45,,1.44
水的生产和供应业,43.49,87.67,8.11,35.97,8.47,27.37,25.98,5.52,5.37
