行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,,347.75,51.64,,,,,,
黑色金属矿采选业,,,,,3.79,,,,94.51
有色金属矿采选业,,,,,0.8,,,,43.74
非金属矿采选业,1.81,,,3.14,20.56,,1.34,17.11,71.54
开采辅助活动,,42.75,,,,,,,2.58
其他采矿业,,,,,,,,,
农副食品加工业,488.56,153.57,53.65,290.88,70.01,336.25,45.76,132.56,45.32
食品制造业,464.85,53.85,36.21,271.76,23.48,93.08,173.56,93.81,34.6
酒、饮料和精制茶制造业,305.3,124.78,15.82,210.78,34.8,87.3,97.79,22.76,26.72
烟草制品业,220.93,63.78,,,,,,,
纺织业,271.37,67.99,21.07,682.01,61.92,170.31,171.75,124.76,107.84
纺织服装、服饰业,438,221.76,42.34,432.57,113.72,535.3,314.81,126.37,58.29
皮革、毛皮、羽毛及其制品和制鞋业,283.62,132.06,17.02,277.13,160.89,353.75,131.54,85.35,154.43
木材加工和木、竹、藤、棕、草制品业,29.1,12.77,8.91,150.57,43.46,16.7,27.05,24.23,105.94
家具制造业,159.68,137.83,13.44,439.47,158.55,243.08,122.11,70.48,68.2
造纸和纸制品业,139.92,131.38,46.4,253.89,36.6,566.67,131.38,132.42,68.76
印刷和记录媒介复制业,137.45,185.56,11.81,180.88,47.52,139.9,78.2,48.36,46.11
文教、工美、体育和娱乐用品制造业,285.35,1719.96,18.89,727.63,70.81,330.15,124.17,24.82,75.87
石油加工、炼焦和核燃料加工业,730.19,63.5,96.39,185.99,652.97,21.05,1.53,2.42,3.86
化学原料和化学制品制造业,1945.81,238.05,226.23,797.78,580.69,302.13,238.13,452.05,330.87
医药制造业,254.67,203.7,132.01,88.38,15.95,20.39,187.72,17.9,49.66
化学纤维制造业,5.49,5.64,32.45,19.96,2.09,10.5,1.78,28.59,4.33
橡胶和塑料制品业,378.63,673.49,90.59,1001.45,220.59,579.86,322.61,161.35,121.99
非金属矿物制品业,176.37,298.59,36.17,1303.16,166.3,168.17,125.92,229.89,454.55
黑色金属冶炼和压延加工业,452.37,37.17,76.68,538.74,83.56,51.27,35.95,59.82,32.71
有色金属冶炼和压延加工业,455.58,332.21,8.07,1143.78,21.82,79.49,58.61,61.38,406.22
金属制品业,402.89,523.18,122.22,1443.63,172.83,338.5,314.83,433.44,506.05
通用设备制造业,630.55,664.93,157.53,712.98,79.17,569.06,398.07,64.92,44.05
专用设备制造业,195.4,626.47,87.24,560.46,45.49,184.35,116.44,40.16,45.79
汽车制造业,3764.21,387.95,53.36,615.63,162.68,145.21,130.76,51.45,66.74
铁路、船舶、航空航天和其他运输设备制造业,440.57,127.25,22.21,103.87,16.66,70.45,80.37,262.82,13.64
电气机械和器材制造业,1011.05,2100.78,967.36,4220.75,409.07,911.75,1159.86,327.71,73.29
计算机、通信和其他电子设备制造业,2144.14,13696.51,893.37,945.45,3069.82,4881.19,979.81,219.18,319.75
仪器仪表制造业,70.7,354.55,32.82,78.89,17.78,163.96,49.67,1.04,7.53
其他制造业,17.09,48.06,0.7,19.84,9.07,43.97,42.99,14.26,8.69
废弃资源综合利用业,13.58,2.06,1.12,433.21,14.11,1.72,6.11,5.71,192.07
金属制品、机械和设备修理业,28.26,11.7,39.96,,,0.49,,,5.17
电力、热力生产和供应业,1345.47,810.12,222.2,548.36,298.66,646.48,237.44,280.19,152.35
燃气生产和供应业,258.05,68.58,56.09,69.66,4.54,40.58,90.57,,10.33
水的生产和供应业,50.96,107.3,10.29,43.97,10.57,30.64,33.48,8.17,9.38
