行业,广州,深圳,珠海,惠州,东莞,中山,江门,佛山,肇庆
煤炭采选业,,,,,,,,,
石油和天然气开采,,140.43,,,,,,,
黑色金属矿采选业,,,,,,,0.07,,0.78
有色金属矿采选业,0.32,,,0.26,,,,,4.15
非金属矿采选业,16.53,0.34,1.92,0.13,0.37,0.28,3.17,1.11,14.78
其他采选业,,,,,,,,,
木材及竹材采运业,,,,0.06,11.51,6.92,,,0.34
食品加工业,64.82,53.51,11.32,2.65,16.38,14.2,29.33,56.24,8.94
食品制造业,103.06,16.17,10.15,1.3,16.5,15.07,24.37,19.42,5.1
饮料制造业,67.6,29.92,7.87,4.63,,,3.84,30.94,9.41
烟草加工业,49.25,14.33,,,114.21,49,0.1,5.48,
纺织业,105.09,26.55,19.35,15.66,40.51,78.64,81.69,98.24,35.76
服装及其他纤维制品制造业,143.52,38.51,35.76,19.11,39.21,47.25,74.99,78.47,32.02
皮革、毛皮、羽绒及其制品业,130.71,29.15,9.55,16.16,,,35.83,44.87,30.09
木材加工及竹、藤、棕、草制品业,16.6,4.08,1.63,2.13,2.9,2.41,13.39,31.83,38.33
家具制造业,25.98,23.49,2.96,3.21,13.68,9.35,8.74,18.9,12.77
造纸及纸制品业,62.61,29.79,19.5,5.18,57.91,27.94,34.75,40.22,17.07
印刷业、记录媒介的复制,26.34,34.08,3.32,4.68,22.62,16.5,17.84,17.14,6.05
文教体育用品制造业,53.49,39.27,9.99,8.47,47.71,39.97,6.09,28.71,5.94
石油加工及炼焦业,136.54,3.94,,,0.3,3.97,0.23,13.6,0.25
化学原料及化学制品制造业,348.27,50.06,26.71,13.5,39.3,47.18,86.48,57.56,25.4
医药制造业,59.36,49.72,31.57,2.74,3.77,8.23,6.38,17.86,8.1
化学纤维制造业,5.12,0.02,3.96,0.96,0.71,4.15,15.25,9.53,9.52
橡胶制品业,38.98,3.68,0.42,0.91,3.33,7.92,12.64,3.81,3.03
塑料制品业,120.4,97.56,30.52,30.62,60.19,61.81,40.16,111.74,9.66
非金属矿物制品业,92.25,45.58,10.74,11.33,26.83,30.71,39.91,185.83,27.3
黑色金属冶炼及压延加工业,81.61,12.25,,5.82,4.99,5.84,15.77,9.1,0.99
有色金属冶炼及压延加工业,37.63,4.47,0.31,1.21,0.24,7.29,2.66,91.4,5.18
金属制品业,116.72,90.41,17.19,28.98,38.78,77.9,136.77,149.71,36.45
普通机械制造业,68.36,10.02,6.92,5.49,10.81,22.53,37.43,22.69,19.97
专用设备制造业,19.83,31.28,13.57,1.27,6.86,6.7,9.76,22.8,4.29
交通运输设备制造业,421.79,41.25,10.09,18.62,11.22,4.72,51.09,48.86,8.51
电气机械及器材制造业,225.16,183.85,126.86,75.5,93.91,116.23,132.57,514.92,8.84
电子及通信设备制造业,303.57,2096.07,209.49,547.37,503.34,166.95,56.25,159.24,60.15
仪器仪表及文化、办公用机械制造业,20.52,184.1,57.5,8.51,25.79,26.63,8.1,45.87,2.41
其他制造业,62.49,30.51,10.06,9.75,11.3,15.1,27.53,26.85,17.61
电力蒸汽热水生产供应业,127.19,196.38,44.83,13.93,118.46,21.97,11.13,67.06,14.16
煤气的生产和供应业,8.05,0.14,21.9,,,0.45,0.29,0.53,
自来水的生产和供应业,16.65,17.61,2.83,2.25,9.05,4.26,3.14,10.14,1.3
