行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,,212.74,73.81,,,,,,
黑色金属矿采选业,,,,,3.55,,,,57.21
有色金属矿采选业,,,,,0.45,,,,8.52
非金属矿采选业,2.97,,,3.29,35.94,0.4,2.1,16.04,70.29
开采辅助活动,,13.42,,,,,,,3.46
其他采矿业,,,,,,,,,
农副食品加工业,522.09,195.13,68.48,343.34,95.56,356.57,50.18,171.92,53.43
食品制造业,474.83,49.8,47.9,325.04,27.36,115.07,192.23,106.49,47.86
酒、饮料和精制茶制造业,305.2,131.21,14.94,236.38,44.62,82.59,89.06,26.35,34.24
烟草制品业,198.89,63.45,,,,,,,
纺织业,262.7,87.22,19.08,720.23,76.24,146.14,183.15,166.71,59.51
纺织服装、服饰业,403.83,223.07,31.21,456.07,143.5,507.25,341.88,155.46,76.23
皮革、毛皮、羽毛及其制品和制鞋业,242.49,116.76,12.9,291.28,262.22,313.79,125.21,97.11,187.78
木材加工和木、竹、藤、棕、草制品业,34.38,14.77,13.08,165.06,57.44,23.29,29.35,24.45,115.18
家具制造业,208.38,130.19,12.68,509.84,223.16,279.59,131.98,95.05,88.33
造纸和纸制品业,134.23,139.58,44.73,257.38,37.07,616.72,153.77,185.95,67.19
印刷和记录媒介复制业,102.58,186.77,10.85,212.54,51.98,154.47,91.36,56.42,46.96
文教、工美、体育和娱乐用品制造业,339.5,950.17,13.24,733.87,89.47,374.68,148.65,30.34,92.87
石油加工、炼焦和核燃料加工业,455.79,60.82,143.96,140.61,347.72,6.31,5.62,4.81,4.28
化学原料和化学制品制造业,1934.98,266.84,244.67,919.67,556.36,304.86,253.27,464.97,392.4
医药制造业,278.05,210.36,166.25,120.94,23.07,24.48,221.22,25.39,58.46
化学纤维制造业,6.98,4.27,29.04,29.29,3.32,11.81,0.94,9.81,3.84
橡胶和塑料制品业,403.96,719.52,84.25,1088.45,321.63,677.23,349.9,175.83,189.42
非金属矿物制品业,184.31,253,39.34,1394.37,195.87,189.44,115.29,233.15,451.22
黑色金属冶炼和压延加工业,406.24,27.77,76.85,569.48,116.79,51.16,25,41.42,29.55
有色金属冶炼和压延加工业,424.98,400.31,52.21,1217.33,32.06,103.14,48.35,74.59,360.02
金属制品业,356.47,456.56,70.68,1700.31,246.27,444.82,338.5,563.81,498.91
通用设备制造业,622.52,714.56,133.31,868.48,145.21,582.87,457.92,114.21,67.51
专用设备制造业,210.74,797.17,131.57,742.14,88.71,332.47,142.47,81.75,64.69
汽车制造业,4433.72,701.51,120.74,773.75,206.69,163.36,158.04,91.56,78.53
铁路、船舶、航空航天和其他运输设备制造业,516,238.2,27.8,121.21,15.98,51.91,101.34,274.17,11.43
电气机械和器材制造业,1147.13,2329.33,1124.14,4726.75,546.38,1033.47,1204.68,429.44,85.27
计算机、通信和其他电子设备制造业,2291.13,16106.81,1067.55,1234.55,3235.7,6834.98,1059.01,263.74,289.75
仪器仪表制造业,76.12,418.92,43.56,113.79,29.35,140.32,101.19,0.52,10.94
其他制造业,20.58,70.59,0.73,12.31,12.54,36.85,57.96,18.98,9.14
废弃资源综合利用业,13.12,0.74,0.27,489.26,18.83,0.67,7.09,1.18,219.86
金属制品、机械和设备修理业,56.99,13.49,52.18,0.26,,1.33,0.2,0.41,4.67
电力、热力生产和供应业,1403.58,808.76,260.84,547.36,305.78,661.03,289.72,262.86,155.39
燃气生产和供应业,337.75,65.75,108.54,72.61,5.24,35.1,91.47,,13.79
水的生产和供应业,93.32,112.71,12.02,50.11,15.28,34.29,46.69,9.52,13.97
