,2003,2004,2005,2006,2007,2008,2009,2010
农副食品加工业,0.00210001647068648,0.0024948459977555478,0.002097712166411031,0.0016935758859666066,0.0019070039407796955,0.002551830221394591,0.002448898346975935,0.0019529821013944228
食品制造业,0.0010863147334159908,0.000787433192710253,0.000902170239171952,0.0008472957271497817,0.0007388857565704897,0.000865167360133821,0.0012296505540038932,0.0012764064228689414
饮料制造业,0.0010804724518527714,0.0009393624139816254,0.0009109618288443928,0.0006866579650359897,0.000598949436376412,0.0005859991363977397,0.0007018834860555236,0.0004973593712433093
烟草制品业,1.69275210394078e-05,1.0052688734363425e-05,8.873889922777852e-06,8.559509572853359e-06,8.689941821147751e-06,8.441630338787738e-06,1.2238270327042794e-05,1.0226507068272694e-05
纺织业,0.018193764607367997,0.019548786413999816,0.01795963456355323,0.013096212825608052,0.010117537044589906,0.008181636874967304,0.00808695021776731,0.00908739076828598
纺织服装、鞋、帽制造业,0.014782261507395617,0.008156532075698946,0.008120588668798306,0.007036808937479616,0.006485106037110608,0.007189566002085318,0.007619214380917842,0.006357599399970601
皮革、毛皮、羽毛(绒)及其制品业,0.00936124346170624,0.008089465703825911,0.007667608169448906,0.006220240481963777,0.005931282990501071,0.005635338824871745,0.005198708256775654,0.005298215471096114
木材加工及竹、藤、棕、草制品业,0.0006570852252004774,0.00025243545947874836,0.00023773613681991545,0.00022807631469409683,0.00029481571421631817,0.0003283960386639101,0.00033534449775239253,0.0003460295075116621
家具制造业,0.0011251611624516448,0.0013986568024603684,0.001470510599191617,0.0015594962958180127,0.0016803869011230866,0.002013362433729387,0.0019288353465927639,0.0019204702601209422
造纸及纸制品业,0.004815245438038552,0.00554157340824217,0.005581402879715615,0.004887498908607775,0.004812157013308201,0.005392237376687274,0.0046380741494745905,0.005005038000299764
印刷业和记录媒介的复制,0.001178175180682489,0.0009367296128028423,0.0008681952185884711,0.0007718755262666688,0.0006949474079659091,0.0008673548545835864,0.0009161224857120689,0.0006868969100911653
文教体育用品制造业,0.002386093394737898,0.0020183657982388308,0.0018975481087162129,0.0015627679262016285,0.001534842303058133,0.0015651434832792788,0.0014281202462573309,0.0011470344958112925
石油加工、炼焦及核燃料加工业,9.297058729008226e-05,0.0001484997258295838,0.0002550994715567538,0.0006592954545052281,0.0007820157368977225,0.0006471446766854688,0.0035855700710760562,0.006426187474331629
化学原料及化学制品制造业,0.022175082611360582,0.028100679631986782,0.027853457612404497,0.039743902653487616,0.04435186869410427,0.04407367654305934,0.037952350688047094,0.040298035477160425
医药制造业,0.001316644826393548,0.0012150314907198353,0.001282757482708323,0.0013036121425857349,0.000962939813423058,0.0010803103539975146,0.0013024918049817538,0.001407931752717884
化学纤维制造业,6.43028194012735e-05,3.7832768094710766e-05,5.931285196256478e-05,0.0002918328129364224,0.00023106675342286746,0.00012249742640564495,8.968195068003099e-05,0.00011772298877093113
橡胶制品业,0.0001237168835300755,0.0001302512805310782,0.00012226104629228633,0.00012161905022468421,0.00013763098259964837,0.00024067899276388963,0.0004730476023522176,0.00019560825938046776
塑料制品业,0.014344517520407565,0.011287423508538485,0.011309864518644129,0.010738985311837658,0.011474444773151914,0.011881933953334577,0.011985159284524677,0.012177417047495778
非金属矿物制品业,0.008261607545048745,0.008847812695073442,0.007947186846190326,0.008951130397738385,0.00948642843186883,0.009872158179010007,0.009283812218947867,0.010890218958052835
黑色金属冶炼及压延加工业,0.0006619872306471601,0.0007481110867818255,0.0014312981184817365,0.001934774027915144,0.0021567548783800613,0.0022140233233619113,0.0020887083323937934,0.0021244415570151718
有色金属冶炼及压延加工业,0.0007275560798098243,0.0017749549576546988,0.00191991421011984,0.004944577861423326,0.007995643995513379,0.010444389099572,0.009348878690193766,0.008519341810005717
金属制品业,0.02475618805635197,0.02921977478917025,0.035521939781545976,0.043335530050793214,0.047637023941989126,0.04095472500866968,0.035599843946701945,0.038669923413598935
通用设备制造业,0.0027759444616999754,0.004955132288372615,0.004614375417614185,0.004356062572299824,0.004860980439183671,0.005486931395186225,0.005355513381582286,0.005908262068262658
专用设备制造业,0.0006976124969260625,0.00195518477431322,0.0016347269317531418,0.0017099018361451982,0.002101890472860987,0.002690859151880436,0.0027149247861595347,0.0025104418524105033
交通运输设备制造业,0.008924762451831993,0.013529853843884738,0.014960610841822545,0.016952293010694938,0.020620581618632724,0.022126739490485655,0.02417072134374398,0.024794197041429204
电气机械及器材制造业,0.11959581773987113,0.13047785172655132,0.13545313391094135,0.13606069221297004,0.1444935397571657,0.13336707119311852,0.13562113313599067,0.13763483616553804
通信设备、计算机及其他电子设备制造业,0.7818385222085701,0.7573629313029184,0.6834857568238556,0.6083051327407708,0.5261072826447334,0.5057001758040228,0.49030356895605387,0.46916686807548746
仪器仪表及文化、办公用机械制造业,0.009272783960037253,0.0058332623649914065,0.006353012360914605,0.005187510086157446,0.004403058059510337,0.003755890962011592,0.0029347430247369985,0.0022756206408266464
工艺品及其他制造业,0.0023152276136325658,0.0013551801566111066,0.0013366037476997712,0.0012974951325070577,0.0015594385740277058,0.001847088168244153,0.0016686216072447965,0.0017867446066918793
